sample_id,episode_id,task,relative_h5_path,context_indices,target_index,current_state,context_action,action,translation_action_norm,rotation_action_norm,gripper_action_abs,score
b88b8bc1405f40e72d42ff06,956e6ac0f731794e,data/folding/foldjacketsleeve_v0/run_0001,data/folding/foldjacketsleeve_v0/run_0001/episode.h5,"[0, 8]",16,"[0.38642734204224444, 0.11867947954311912, 0.3107491582577226, 3.0513627529144287, 0.028347056359052658, -0.073551245033741, 0.4977973401546478]","[0.0011432499221787906, -0.003278792884093426, 5.416212164172096e-05, 0.0008547665945489659, -0.0009548598023541022, -0.008115981508732432, -0.4361233673989773]","[-0.0011314480539818539, -0.035171821120916213, -0.010441611660298833, -0.05876926730269045, -0.004603699388672666, -0.15162307324715363, -0.49779735067311437]",0.036706463051145034,0.16267936921523904,0.49779735067311437,0.7958176732063293
720d55d6022549ccad165b00,956e6ac0f731794e,data/folding/foldjacketsleeve_v0/run_0001,data/folding/foldjacketsleeve_v0/run_0001/episode.h5,"[8, 16]",24,"[0.3852958939882626, 0.08350765842220291, 0.30030754659742376, 2.9930810928344727, 0.019391460344195366, -0.2267010509967804, -1.0518466542208671e-08]","[-0.0011314480539818539, -0.035171821120916213, -0.010441611660298833, -0.05876926730269045, -0.004603699388672666, -0.15162307324715363, -0.49779735067311437]","[-0.024844309703046796, -0.07031632355925506, -0.01409329847111146, -0.11529853326807826, -0.06024590731240842, -0.35486614648746007, 0.0]",0.07589628545130905,0.3779593933804595,0.0,0.9496273398399353
2b1fabc553577d06e68225e9,956e6ac0f731794e,data/folding/foldjacketsleeve_v0/run_0001,data/folding/foldjacketsleeve_v0/run_0001/episode.h5,"[16, 24]",32,"[0.3604515842852158, 0.01319133486294785, 0.2862142481263123, 2.8943474292755127, -0.06528351455926895, -0.5827760100364685, -1.0518466542208671e-08]","[-0.024844309703046796, -0.07031632355925506, -0.01409329847111146, -0.11529853326807826, -0.06024590731240842, -0.35486614648746007, 0.0]","[-0.03790765105498928, -0.08134061891530822, -0.011017827305768502, -0.09231971123426672, 0.009685532219830595, -0.0068266352990270646, 0.0]",0.09041393041214371,0.09307707325794946,0.0,1.0243556499481201
7e2ea2259f76aeece068d055,956e6ac0f731794e,data/folding/foldjacketsleeve_v0/run_0001,data/folding/foldjacketsleeve_v0/run_0001/episode.h5,"[24, 32]",40,"[0.3225439332302265, -0.06814928405236037, 0.2751964208205438, 2.811474323272705, -0.1077200248837471, -0.5819898247718811, -1.0518466542208671e-08]","[-0.03790765105498928, -0.08134061891530822, -0.011017827305768502, -0.09231971123426672, 0.009685532219830595, -0.0068266352990270646, 0.0]","[-0.02871335773446998, -0.06705438535294589, -0.013392742216682185, 0.07320782364504752, 0.14404710131323695, 0.6809062279504081, 0.0]",0.07416274706030995,0.6998158644252382,0.0,0.9694963097572327
8253575e52540ac867b41c76,956e6ac0f731794e,data/folding/foldjacketsleeve_v0/run_0001,data/folding/foldjacketsleeve_v0/run_0001/episode.h5,"[32, 40]",48,"[0.29383057549575653, -0.13520366940530626, 0.2618036786038616, 2.79300856590271, 0.05269140377640724, 0.0941418930888176, -1.0518466542208671e-08]","[-0.02871335773446998, -0.06705438535294589, -0.013392742216682185, 0.07320782364504752, 0.14404710131323695, 0.6809062279504081, 0.0]","[-0.026163599222740697, -0.021812149478177556, -0.026226121377590783, 0.11772819178608085, 0.22474335964472036, 0.513181896061621, 0.0]",0.04298968750361746,0.5724728493920186,0.0,0.8001759052276611
2573dab01a591eb998c41e34,956e6ac0f731794e,data/folding/foldjacketsleeve_v0/run_0001,data/folding/foldjacketsleeve_v0/run_0001/episode.h5,"[40, 48]",56,"[0.26766697627301583, -0.15701581888348382, 0.23557755722627083, 2.9332895278930664, 0.2648867070674896, 0.6163660883903503, -1.0518466542208671e-08]","[-0.026163599222740697, -0.021812149478177556, -0.026226121377590783, 0.11772819178608085, 0.22474335964472036, 0.513181896061621, 0.0]","[-0.011971955551760172, -0.0012684426867906884, -0.023101103568984177, 0.07279631870439951, 0.04371020771801892, 0.09657903514104696, 0.0]",0.026049906961214418,0.12859780831896184,0.0,0.6156127452850342
853402a753c74eaaa267c722,956e6ac0f731794e,data/folding/foldjacketsleeve_v0/run_0001,data/folding/foldjacketsleeve_v0/run_0001/episode.h5,"[48, 56]",64,"[0.25569502072125566, -0.1582842615702745, 0.21247645365728665, 3.02083683013916, 0.25756824016571045, 0.7339773774147034, -1.0518466542208671e-08]","[-0.011971955551760172, -0.0012684426867906884, -0.023101103568984177, 0.07279631870439951, 0.04371020771801892, 0.09657903514104696, 0.0]","[-0.0018939396060554392, 0.0014032118668818594, -0.023629048973934308, 0.05896338342338148, 0.01667608956520894, 0.08036764050716086, 0.33039647866697863]",0.023746325319664294,0.10106300108648966,0.33039647866697863,0.6144468784332275
9ca081ac28ad0ca1751f9071,956e6ac0f731794e,data/folding/foldjacketsleeve_v0/run_0001,data/folding/foldjacketsleeve_v0/run_0001/episode.h5,"[56, 64]",72,"[0.2538010811152002, -0.15688104970339264, 0.18884740468335234, 3.077272653579712, 0.2300846427679062, 0.8274825215339661, 0.3303964681485121]","[-0.0018939396060554392, 0.0014032118668818594, -0.023629048973934308, 0.05896338342338148, 0.01667608956520894, 0.08036764050716086, 0.33039647866697863]","[0.003936769721031075, -0.0032103941360647203, -0.00019795251065357622, -0.005695538912128285, -0.003371184726693288, 0.009885013559233775, 0.5198237979236771]",0.005083696641399827,0.011896114618954087,0.5198237979236771,0.5327218174934387
7fb9b26872f73b781b2694a0,956e6ac0f731794e,data/folding/foldjacketsleeve_v0/run_0001,data/folding/foldjacketsleeve_v0/run_0001/episode.h5,"[64, 72]",80,"[0.2577378508362313, -0.16009144383945736, 0.18864945217269877, 3.0707619190216064, 0.2319917380809784, 0.8358670473098755, 0.8502202660721891]","[0.003936769721031075, -0.0032103941360647203, -0.00019795251065357622, -0.005695538912128285, -0.003371184726693288, 0.009885013559233775, 0.5198237979236771]","[0.004170934990627373, -0.0003174468806686759, 0.0021407122718560545, -0.005933427776528926, -0.006231009312565927, 0.008505211866341207, 0.08370044148143596]",0.004698948845110058,0.012098333402742694,0.08370044148143596,0.3993591368198395
ff437c3cbd110f7d7f0e7c05,956e6ac0f731794e,data/folding/foldjacketsleeve_v0/run_0001,data/folding/foldjacketsleeve_v0/run_0001/episode.h5,"[72, 80]",88,"[0.26190878582685867, -0.16040889072012604, 0.19079016444455482, 3.0619235038757324, 0.23220668733119965, 0.8423207402229309, 0.9339207075536251]","[0.004170934990627373, -0.0003174468806686759, 0.0021407122718560545, -0.005933427776528926, -0.006231009312565927, 0.008505211866341207, 0.08370044148143596]","[0.0202756921269846, 0.0023733027214154767, 0.027046908900696748, -0.05019859256475086, -0.05061700022760496, 0.04096083473450918, 0.0]",0.03388615555235401,0.08221781674108718,0.0,0.7809536457061768
